"Number","Question","Answer1","Answer2","DOI","Year","Author","Comments"
9,"Pre or post breeding census","post",NA,"10.1002/ecs2.1666",2016,"Hinke",NA
10,"Life cycle correctly estimated?","yes",NA,"10.1002/ecs2.1666",2016,"Hinke",NA
11,"What is error if one found?",NA,NA,"10.1002/ecs2.1666",2016,"Hinke",NA
12,"What metric used for fecundity?","number of chicks crèched ",NA,"10.1002/ecs2.1666",2016,"Hinke",NA
13,"Sample size","296","birds that bred multiple times","10.1002/ecs2.1666",2016,"Hinke",NA
1,"Is there an MPM in original paper?","yes",NA,"10.1111/j.1558-5646.2011.01366.x",2011,"Gamelon","used E-SURGE"
2,"Organism","mammal","wild boar","10.1111/j.1558-5646.2011.01366.x",2011,"Gamelon",NA
3,"Do they model an observation process for survival?","yes","multi-state capture-recapture model","10.1111/j.1558-5646.2011.01366.x",2011,"Gamelon",NA
4,"Do they model an observation process for fecundity?","no","from literature and expert opinion","10.1111/j.1558-5646.2011.01366.x",2011,"Gamelon",NA
5,"Was uncertainty reported?","yes","standard error for survival","10.1111/j.1558-5646.2011.01366.x",2011,"Gamelon",NA
6,"If reported, was the uncertainty complete for all parameters?","no","reproduction","10.1111/j.1558-5646.2011.01366.x",2011,"Gamelon",NA
7,"Was lambda estimated from matrix? If yes what conclusion","yes","increasing population","10.1111/j.1558-5646.2011.01366.x",2011,"Gamelon",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion","yes","survival of juveniles had highest influence","10.1111/j.1558-5646.2011.01366.x",2011,"Gamelon",NA
9,"Pre or post breeding census","pre",NA,"10.1111/j.1558-5646.2011.01366.x",2011,"Gamelon",NA
10,"Life cycle correctly estimated?","yes",NA,"10.1111/j.1558-5646.2011.01366.x",2011,"Gamelon",NA
11,"What is error if one found?",NA,NA,"10.1111/j.1558-5646.2011.01366.x",2011,"Gamelon",NA
12,"What metric used for fecundity?","mean number of piglets produced per age class","times proportion of breeding females and survival to weaning and survival of considered age class","10.1111/j.1558-5646.2011.01366.x",2011,"Gamelon",NA
13,"Sample size","1890","number of juveniles marked, 238 recaptured, 1204 recovered","10.1111/j.1558-5646.2011.01366.x",2011,"Gamelon",NA
1,"Is there an MPM in original paper?","yes",NA,"10.1111/evo.12952",2016,"Kvalnes",NA
2,"Organism","mammal","moose","10.1111/evo.12952",2016,"Kvalnes",NA
3,"Do they model an observation process for survival?","no","estimated mean","10.1111/evo.12952",2016,"Kvalnes",NA
4,"Do they model an observation process for fecundity?","no","estimated mean","10.1111/evo.12952",2016,"Kvalnes",NA
5,"Was uncertainty reported?","yes","standard errors","10.1111/evo.12952",2016,"Kvalnes",NA
6,"If reported, was the uncertainty complete for all parameters?","yes",NA,"10.1111/evo.12952",2016,"Kvalnes",NA
7,"Was lambda estimated from matrix? If yes what conclusion","no",NA,"10.1111/evo.12952",2016,"Kvalnes",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion","no",NA,"10.1111/evo.12952",2016,"Kvalnes",NA
9,"Pre or post breeding census","pre",NA,"10.1111/evo.12952",2016,"Kvalnes",NA
10,"Life cycle correctly estimated?","yes",NA,"10.1111/evo.12952",2016,"Kvalnes",NA
11,"What is error if one found?",NA,NA,"10.1111/evo.12952",2016,"Kvalnes",NA
12,"What metric used for fecundity?","half number of calves produced in t that were alive at t+1",NA,"10.1111/evo.12952",2016,"Kvalnes",NA
13,"Sample size","499","genotyped individuals, 181 phenotyped juveniles, 468 for survival and recruitment","10.1111/evo.12952",2016,"Kvalnes",NA
1,"Is there an MPM in original paper?","yes",NA,"10.1093/plankt/fbv024",2015,"Henschke",NA
2,"Organism","zooplankton","thalia democratica","10.1093/plankt/fbv024",2015,"Henschke",NA
3,"Do they model an observation process for survival?","no","from literature or best guess","10.1093/plankt/fbv024",2015,"Henschke",NA
4,"Do they model an observation process for fecundity?","no","from literature or best guess","10.1093/plankt/fbv024",2015,"Henschke",NA
5,"Was uncertainty reported?","no",NA,"10.1093/plankt/fbv024",2015,"Henschke",NA
6,"If reported, was the uncertainty complete for all parameters?",NA,NA,"10.1093/plankt/fbv024",2015,"Henschke",NA
7,"Was lambda estimated from matrix? If yes what conclusion","yes","1.32 a day","10.1093/plankt/fbv024",2015,"Henschke",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion","yes","juvenile oozoid survival was most important","10.1093/plankt/fbv024",2015,"Henschke",NA
9,"Pre or post breeding census","can't tell","daily time step","10.1093/plankt/fbv024",2015,"Henschke",NA
10,"Life cycle correctly estimated?","can't tell",NA,"10.1093/plankt/fbv024",2015,"Henschke",NA
11,"What is error if one found?",NA,NA,"10.1093/plankt/fbv024",2015,"Henschke",NA
12,"What metric used for fecundity?","contribution of stages to female or post-release oozoids",NA,"10.1093/plankt/fbv024",2015,"Henschke",NA
13,"Sample size",NA,"from literature","10.1093/plankt/fbv024",2015,"Henschke",NA
1,"Is there an MPM in original paper?","yes",NA,"10.1371/journal.pone.0094700",2014,"Rota",NA
2,"Organism","bird","black-backed woodpecker","10.1371/journal.pone.0094700",2014,"Rota",NA
3,"Do they model an observation process for survival?","yes","Bayesian multi-state mark-recapture model","10.1371/journal.pone.0094700",2014,"Rota",NA
4,"Do they model an observation process for fecundity?","no","nest survival as Bayesian nest survival model and young fledged as zero-truncated Poisson model","10.1371/journal.pone.0094700",2014,"Rota","POISSON RECRUITMENT"
5,"Was uncertainty reported?","yes","credible intervals survival and recruitment","10.1371/journal.pone.0094700",2014,"Rota",NA
6,"If reported, was the uncertainty complete for all parameters?","yes",NA,"10.1371/journal.pone.0094700",2014,"Rota",NA
7,"Was lambda estimated from matrix? If yes what conclusion","yes","2 year post wildfire was largely positive growth, but other habitats were largely negative","10.1371/journal.pone.0094700",2014,"Rota",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion","no",NA,"10.1371/journal.pone.0094700",2014,"Rota",NA
9,"Pre or post breeding census","pre",NA,"10.1371/journal.pone.0094700",2014,"Rota",NA
10,"Life cycle correctly estimated?","yes","all 'recruits' are already adults","10.1371/journal.pone.0094700",2014,"Rota",NA
11,"What is error if one found?",NA,NA,"10.1371/journal.pone.0094700",2014,"Rota",NA
12,"What metric used for fecundity?","recruitment","number of chicks fledged from successful next times survival to adult","10.1371/journal.pone.0094700",2014,"Rota",NA
13,"Sample size","140","adult woodpeckers, 95 nests for fledging success","10.1371/journal.pone.0094700",2014,"Rota",NA
1,"Is there an MPM in original paper?","yes",NA,"10.1371/journal.pone.0034379",2012,"Hostetler",NA
2,"Organism","mammal","ground-dwelling squirrel","10.1371/journal.pone.0034379",2012,"Hostetler",NA
3,"Do they model an observation process for survival?","no","not sure but maybe direct calculation","10.1371/journal.pone.0034379",2012,"Hostetler",NA
4,"Do they model an observation process for fecundity?","no","not sure but maybe direct calculation","10.1371/journal.pone.0034379",2012,"Hostetler",NA
5,"Was uncertainty reported?","yes","standard errors","10.1371/journal.pone.0034379",2012,"Hostetler",NA
6,"If reported, was the uncertainty complete for all parameters?","yes",NA,"10.1371/journal.pone.0034379",2012,"Hostetler",NA
7,"Was lambda estimated from matrix? If yes what conclusion","yes","population decline but confidence interval spans 0 (0.95 ± SE 0.05). Below replacement 9/18 years","10.1371/journal.pone.0034379",2012,"Hostetler",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion","yes","matrix entry elasticity = most influenctial are juvenile survival then 2 yr old females, lower level elasticity = adult female survival then survival of juveniles and litter size were most important. LTRE = adult female survival, juvenile survival, litter size","10.1371/journal.pone.0034379",2012,"Hostetler",NA
9,"Pre or post breeding census","post",NA,"10.1371/journal.pone.0034379",2012,"Hostetler",NA
10,"Life cycle correctly estimated?","yes",NA,"10.1371/journal.pone.0034379",2012,"Hostetler",NA
11,"What is error if one found?",NA,NA,"10.1371/journal.pone.0034379",2012,"Hostetler",NA
12,"What metric used for fecundity?","litter size","then multiplied by mother survival and breeding probability","10.1371/journal.pone.0034379",2012,"Hostetler",NA
13,"Sample size","831","total captured","10.1371/journal.pone.0034379",2012,"Hostetler",NA
1,"Is there an MPM in original paper?","yes","part of meta-population model in RAMAS","10.1111/gcb.12289",2013,"Fordham","RAMAS"
2,"Organism","gastropoda ","blacklip and greenlip abalone","10.1111/gcb.12289",2013,"Fordham","has cryptic juvenile classes"
3,"Do they model an observation process for survival?","no","from literature","10.1111/gcb.12289",2013,"Fordham","part of a bigger model so no specific uncertainties"
4,"Do they model an observation process for fecundity?","no","from literature","10.1111/gcb.12289",2013,"Fordham",NA
5,"Was uncertainty reported?","yes","propagated with Latin hypercube sampling, ±10% for each vital rate","10.1111/gcb.12289",2013,"Fordham",NA
6,"If reported, was the uncertainty complete for all parameters?","yes",NA,"10.1111/gcb.12289",2013,"Fordham",NA
7,"Was lambda estimated from matrix? If yes what conclusion","no",NA,"10.1111/gcb.12289",2013,"Fordham",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion","yes","no specific results as not focus of study","10.1111/gcb.12289",2013,"Fordham",NA
9,"Pre or post breeding census","pre",NA,"10.1111/gcb.12289",2013,"Fordham",NA
10,"Life cycle correctly estimated?","yes",NA,"10.1111/gcb.12289",2013,"Fordham",NA
11,"What is error if one found?",NA,"size based so should maybe be IPM","10.1111/gcb.12289",2013,"Fordham",NA
12,"What metric used for fecundity?","can't tell","not clear what size this is or how it is calculated","10.1111/gcb.12289",2013,"Fordham",NA
13,"Sample size",NA,"from literature","10.1111/gcb.12289",2013,"Fordham",NA
1,"Is there an MPM in original paper?","yes",NA,"10.1111/gcb.13014",2015,"Riegl",NA
2,"Organism","scleractinia","Acorpora downingi, Porites harrisoni, Dipsastrea pallida, Cyphastrea micropthalma","10.1111/gcb.13014",2015,"Riegl",NA
3,"Do they model an observation process for survival?","no","Wood's method solved directly","10.1111/gcb.13014",2015,"Riegl",NA
4,"Do they model an observation process for fecundity?","no","based on literature from other places","10.1111/gcb.13014",2015,"Riegl",NA
5,"Was uncertainty reported?","no",NA,"10.1111/gcb.13014",2015,"Riegl",NA
6,"If reported, was the uncertainty complete for all parameters?",NA,NA,"10.1111/gcb.13014",2015,"Riegl",NA
7,"Was lambda estimated from matrix? If yes what conclusion","yes","all less than 1","10.1111/gcb.13014",2015,"Riegl",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion","yes","species specific- Acropora downingi most important were SC1 and 2, Porites harrisoni sensitivity was SC1 and elasticity was SC1, SC2 and SC3, Dipsastrea pallida was SC1 and 2 for both, Platygyra daedalea was smallest SC, Cyphastrea microphthalma sensitivity declined from smallest to largest size and elasticity was highest for strong strinkage/growth","10.1111/gcb.13014",2015,"Riegl",NA
9,"Pre or post breeding census","can't tell",NA,"10.1111/gcb.13014",2015,"Riegl",NA
10,"Life cycle correctly estimated?","can't tell",NA,"10.1111/gcb.13014",2015,"Riegl",NA
11,"What is error if one found?",NA,NA,"10.1111/gcb.13014",2015,"Riegl",NA
12,"What metric used for fecundity?","polyps per mesenteries per cm2 times number of oocytes per polyp per mesentery times projected surface area of colony","expresssed as summed oocyte output of 100 colonies portioned into fecund size classes","10.1111/gcb.13014",2015,"Riegl","couldn't get enough measures of recruits (< 2cm diameter)"
13,"Sample size","can't tell","only reported number of transects - 40 per year","10.1111/gcb.13014",2015,"Riegl",NA
1,"Is there an MPM in original paper?","thesis not peer reviewed",NA,NA,2013,"Watsa",NA
2,"Organism","thesis not peer reviewed",NA,NA,2013,"Watsa",NA
3,"Do they model an observation process for survival?","thesis not peer reviewed",NA,NA,2013,"Watsa",NA
4,"Do they model an observation process for fecundity?","thesis not peer reviewed",NA,NA,2013,"Watsa",NA
5,"Was uncertainty reported?","thesis not peer reviewed",NA,NA,2013,"Watsa",NA
6,"If reported, was the uncertainty complete for all parameters?","thesis not peer reviewed",NA,NA,2013,"Watsa",NA
7,"Was lambda estimated from matrix? If yes what conclusion","thesis not peer reviewed",NA,NA,2013,"Watsa",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion","thesis not peer reviewed",NA,NA,2013,"Watsa",NA
9,"Pre or post breeding census","thesis not peer reviewed",NA,NA,2013,"Watsa",NA
10,"Life cycle correctly estimated?","thesis not peer reviewed",NA,NA,2013,"Watsa",NA
11,"What is error if one found?","thesis not peer reviewed",NA,NA,2013,"Watsa",NA
12,"What metric used for fecundity?","thesis not peer reviewed",NA,NA,2013,"Watsa",NA
13,"Sample size","thesis not peer reviewed",NA,NA,2013,"Watsa",NA
1,"Is there an MPM in original paper?","yes",NA,"10.1655/HERPETOLOGICA-D-12-00038R2",2013,"Pérez-Mendoza",NA
2,"Organism","reptile","Sceloporus grammicus","10.1655/HERPETOLOGICA-D-12-00038R2",2013,"Pérez-Mendoza",NA
3,"Do they model an observation process for survival?","yes","multi-state capture-recapture model in MARK","10.1655/HERPETOLOGICA-D-12-00038R2",2013,"Pérez-Mendoza",NA
4,"Do they model an observation process for fecundity?","no","estimated from captured individuals kept in captivity","10.1655/HERPETOLOGICA-D-12-00038R2",2013,"Pérez-Mendoza",NA
5,"Was uncertainty reported?","yes","standard error for survival and transitions","10.1655/HERPETOLOGICA-D-12-00038R2",2013,"Pérez-Mendoza",NA
6,"If reported, was the uncertainty complete for all parameters?","yes",NA,"10.1655/HERPETOLOGICA-D-12-00038R2",2013,"Pérez-Mendoza",NA
7,"Was lambda estimated from matrix? If yes what conclusion","yes","2/8 populations decreasing, 1/8 increasing, 5/8 not clear direction","10.1655/HERPETOLOGICA-D-12-00038R2",2013,"Pérez-Mendoza",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion","yes","large variation by population but most important was survival for juveniles and fecundity and survival of small adults","10.1655/HERPETOLOGICA-D-12-00038R2",2013,"Pérez-Mendoza",NA
9,"Pre or post breeding census","not reported",NA,"10.1655/HERPETOLOGICA-D-12-00038R2",2013,"Pérez-Mendoza",NA
10,"Life cycle correctly estimated?","not reported",NA,"10.1655/HERPETOLOGICA-D-12-00038R2",2013,"Pérez-Mendoza",NA
11,"What is error if one found?",NA,"size based so maybe should be IPM","10.1655/HERPETOLOGICA-D-12-00038R2",2013,"Pérez-Mendoza",NA
12,"What metric used for fecundity?","mean litter size","mean number of juveniles produced by average reproductive female","10.1655/HERPETOLOGICA-D-12-00038R2",2013,"Pérez-Mendoza",NA
13,"Sample size","1631","total caught, recapture is lower","10.1655/HERPETOLOGICA-D-12-00038R2",2013,"Pérez-Mendoza",NA
1,"Is there an MPM in original paper?","yes","integrated population model","10.1111/ibi.12125",2014,"Altwegg",NA
2,"Organism","bird","peregrine falcon","10.1111/ibi.12125",2014,"Altwegg",NA
3,"Do they model an observation process for survival?","yes","multi-state mark recapture model","10.1111/ibi.12125",2014,"Altwegg","Poisson model of count does not attempt to correct for count error but does allow for extra variability introduced by it"
4,"Do they model an observation process for fecundity?","no","Poisson model","10.1111/ibi.12125",2014,"Altwegg",NA
5,"Was uncertainty reported?","yes","credible intervals","10.1111/ibi.12125",2014,"Altwegg",NA
6,"If reported, was the uncertainty complete for all parameters?","yes",NA,"10.1111/ibi.12125",2014,"Altwegg",NA
7,"Was lambda estimated from matrix? If yes what conclusion","no",NA,"10.1111/ibi.12125",2014,"Altwegg",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion","no",NA,"10.1111/ibi.12125",2014,"Altwegg",NA
9,"Pre or post breeding census","post",NA,"10.1111/ibi.12125",2014,"Altwegg",NA
10,"Life cycle correctly estimated?","yes",NA,"10.1111/ibi.12125",2014,"Altwegg",NA
11,"What is error if one found?",NA,NA,"10.1111/ibi.12125",2014,"Altwegg",NA
12,"What metric used for fecundity?","number of fledglings per breeding pair",NA,"10.1111/ibi.12125",2014,"Altwegg",NA
13,"Sample size","149","total individuals","10.1111/ibi.12125",2014,"Altwegg",NA
1,"Is there an MPM in original paper?","yes",NA,"10.1093/jme/tjw021",2016,"Hanly",NA
2,"Organism","insect","treehole mosquito","10.1093/jme/tjw021",2016,"Hanly",NA
3,"Do they model an observation process for survival?","no","direct calculations and logistic regression","10.1093/jme/tjw021",2016,"Hanly",NA
4,"Do they model an observation process for fecundity?","no","varied from 1-52 to test specific scenario and estimated from data","10.1093/jme/tjw021",2016,"Hanly",NA
5,"Was uncertainty reported?","yes","plotted CI for survival","10.1093/jme/tjw021",2016,"Hanly",NA
6,"If reported, was the uncertainty complete for all parameters?","no","reproduction","10.1093/jme/tjw021",2016,"Hanly",NA
7,"Was lambda estimated from matrix? If yes what conclusion","yes","remained viable across a range of values of fecundity","10.1093/jme/tjw021",2016,"Hanly",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion","yes","most influenced by changes in larval survival and growth to next stage","10.1093/jme/tjw021",2016,"Hanly",NA
9,"Pre or post breeding census","constant reproduction",NA,"10.1093/jme/tjw021",2016,"Hanly",NA
10,"Life cycle correctly estimated?","yes",NA,"10.1093/jme/tjw021",2016,"Hanly",NA
11,"What is error if one found?",NA,NA,"10.1093/jme/tjw021",2016,"Hanly",NA
12,"What metric used for fecundity?","number of eggs",NA,"10.1093/jme/tjw021",2016,"Hanly",NA
13,"Sample size","4300","minimum larvae and pupae collected","10.1093/jme/tjw021",2016,"Hanly",NA
1,"Is there an MPM in original paper?","yes",NA,"10.1002/jwmg.628",2014,"Chastant","program MARK"
2,"Organism","bird","double-crested cormorants","10.1002/jwmg.628",2014,"Chastant",NA
3,"Do they model an observation process for survival?","yes","Burnham join live-encount dead-recover model","10.1002/jwmg.628",2014,"Chastant","PopTools"
4,"Do they model an observation process for fecundity?","no","direct calculation est of fledglings per active nest","10.1002/jwmg.628",2014,"Chastant",NA
5,"Was uncertainty reported?","yes","for survival","10.1002/jwmg.628",2014,"Chastant",NA
6,"If reported, was the uncertainty complete for all parameters?","no","reproduction","10.1002/jwmg.628",2014,"Chastant",NA
7,"Was lambda estimated from matrix? If yes what conclusion","yes","around 1, stable for LOW but decreasing for ELO","10.1002/jwmg.628",2014,"Chastant",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion","yes","adult survival was most influential","10.1002/jwmg.628",2014,"Chastant",NA
9,"Pre or post breeding census","not reported","think post","10.1002/jwmg.628",2014,"Chastant",NA
10,"Life cycle correctly estimated?","no",NA,"10.1002/jwmg.628",2014,"Chastant",NA
11,"What is error if one found?","missing survival from fecundity measure",NA,"10.1002/jwmg.628",2014,"Chastant",NA
12,"What metric used for fecundity?","number of fledglings","proxy for fecundity","10.1002/jwmg.628",2014,"Chastant",NA
13,"Sample size","9498","pre-fledged cormorants that were banded","10.1002/jwmg.628",2014,"Chastant",NA
1,"Is there an MPM in original paper?","no",NA,"10.1111/j.1365-2656.2010.01750.x",2011,"Sim","Could be useful for covariance etc"
2,"Organism","bird","ring ouzel","10.1111/j.1365-2656.2010.01750.x",2011,"Sim",NA
3,"Do they model an observation process for survival?",NA,NA,"10.1111/j.1365-2656.2010.01750.x",2011,"Sim",NA
4,"Do they model an observation process for fecundity?",NA,NA,"10.1111/j.1365-2656.2010.01750.x",2011,"Sim",NA
5,"Was uncertainty reported?",NA,NA,"10.1111/j.1365-2656.2010.01750.x",2011,"Sim",NA
6,"If reported, was the uncertainty complete for all parameters?",NA,NA,"10.1111/j.1365-2656.2010.01750.x",2011,"Sim",NA
7,"Was lambda estimated from matrix? If yes what conclusion",NA,NA,"10.1111/j.1365-2656.2010.01750.x",2011,"Sim",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion",NA,NA,"10.1111/j.1365-2656.2010.01750.x",2011,"Sim",NA
9,"Pre or post breeding census",NA,NA,"10.1111/j.1365-2656.2010.01750.x",2011,"Sim",NA
10,"Life cycle correctly estimated?",NA,NA,"10.1111/j.1365-2656.2010.01750.x",2011,"Sim",NA
11,"What is error if one found?",NA,NA,"10.1111/j.1365-2656.2010.01750.x",2011,"Sim",NA
12,"What metric used for fecundity?",NA,NA,"10.1111/j.1365-2656.2010.01750.x",2011,"Sim",NA
13,"Sample size",NA,NA,"10.1111/j.1365-2656.2010.01750.x",2011,"Sim",NA
1,"Is there an MPM in original paper?","yes","experiment","10.1111/j.1365-2656.2012.02029.x",2013,"Radchuk",NA
2,"Organism","insect","butterfly- Boloria eunomia","10.1111/j.1365-2656.2012.02029.x",2013,"Radchuk",NA
3,"Do they model an observation process for survival?","no","binomial GLM (PROC GENMOD) or GLMM","10.1111/j.1365-2656.2012.02029.x",2013,"Radchuk","all data from experiment"
4,"Do they model an observation process for fecundity?","no","Poisson GLMM","10.1111/j.1365-2656.2012.02029.x",2013,"Radchuk","PROC GLIMMIX SAS"
5,"Was uncertainty reported?","yes",NA,"10.1111/j.1365-2656.2012.02029.x",2013,"Radchuk",NA
6,"If reported, was the uncertainty complete for all parameters?","no","some survival","10.1111/j.1365-2656.2012.02029.x",2013,"Radchuk",NA
7,"Was lambda estimated from matrix? If yes what conclusion","yes","0.608 for baseline, lower than observed 0.97 so survivals underestimated due to manipulation","10.1111/j.1365-2656.2012.02029.x",2013,"Radchuk","scaled rates estimated by the proportional difference between observed and estimated lambda"
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion","yes","overwintering larvae survival most influential","10.1111/j.1365-2656.2012.02029.x",2013,"Radchuk",NA
9,"Pre or post breeding census","periodic matrix",NA,"10.1111/j.1365-2656.2012.02029.x",2013,"Radchuk",NA
10,"Life cycle correctly estimated?","yes",NA,"10.1111/j.1365-2656.2012.02029.x",2013,"Radchuk",NA
11,"What is error if one found?",NA,NA,"10.1111/j.1365-2656.2012.02029.x",2013,"Radchuk",NA
12,"What metric used for fecundity?","number of eggs",NA,"10.1111/j.1365-2656.2012.02029.x",2013,"Radchuk",NA
13,"Sample size","1205","number of eggs in experiment 2","10.1111/j.1365-2656.2012.02029.x",2013,"Radchuk",NA
1,"Is there an MPM in original paper?","no",NA,"10.1111/1365-2656.12238",2014,"Cubaynes","I could not clearly see an actual MPM, was not in key words and not focus of paper"
2,"Organism","mammal","wolf","10.1111/1365-2656.12238",2014,"Cubaynes",NA
3,"Do they model an observation process for survival?",NA,NA,"10.1111/1365-2656.12238",2014,"Cubaynes",NA
4,"Do they model an observation process for fecundity?",NA,NA,"10.1111/1365-2656.12238",2014,"Cubaynes",NA
5,"Was uncertainty reported?",NA,NA,"10.1111/1365-2656.12238",2014,"Cubaynes",NA
6,"If reported, was the uncertainty complete for all parameters?",NA,NA,"10.1111/1365-2656.12238",2014,"Cubaynes",NA
7,"Was lambda estimated from matrix? If yes what conclusion",NA,NA,"10.1111/1365-2656.12238",2014,"Cubaynes",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion",NA,NA,"10.1111/1365-2656.12238",2014,"Cubaynes",NA
9,"Pre or post breeding census",NA,NA,"10.1111/1365-2656.12238",2014,"Cubaynes",NA
10,"Life cycle correctly estimated?",NA,NA,"10.1111/1365-2656.12238",2014,"Cubaynes",NA
11,"What is error if one found?",NA,NA,"10.1111/1365-2656.12238",2014,"Cubaynes",NA
12,"What metric used for fecundity?",NA,NA,"10.1111/1365-2656.12238",2014,"Cubaynes",NA
13,"Sample size",NA,NA,"10.1111/1365-2656.12238",2014,"Cubaynes",NA
1,"Is there an MPM in original paper?","yes","integrated population model","10.1111/1365-2656.12206",2014,"Szostek","error bars not labelled on plot i.e. doesn't tell you what they are"
2,"Organism","bird","common terns","10.1111/1365-2656.12206",2014,"Szostek",NA
3,"Do they model an observation process for survival?","yes","multi-state capture-recapture model","10.1111/1365-2656.12206",2014,"Szostek",NA
4,"Do they model an observation process for fecundity?","no","Poisson regression","10.1111/1365-2656.12206",2014,"Szostek","report uncertainty as SD, presumably of the posterior"
5,"Was uncertainty reported?","yes",NA,"10.1111/1365-2656.12206",2014,"Szostek",NA
6,"If reported, was the uncertainty complete for all parameters?","yes",NA,"10.1111/1365-2656.12206",2014,"Szostek","really badly written methods and results - equations with nothing defined until much later"
7,"Was lambda estimated from matrix? If yes what conclusion","no",NA,"10.1111/1365-2656.12206",2014,"Szostek",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion","no",NA,"10.1111/1365-2656.12206",2014,"Szostek",NA
9,"Pre or post breeding census","pre",NA,"10.1111/1365-2656.12206",2014,"Szostek",NA
10,"Life cycle correctly estimated?","yes",NA,"10.1111/1365-2656.12206",2014,"Szostek",NA
11,"What is error if one found?",NA,NA,"10.1111/1365-2656.12206",2014,"Szostek",NA
12,"What metric used for fecundity?","number of fledglings times juvenile survival",NA,"10.1111/1365-2656.12206",2014,"Szostek",NA
13,"Sample size","3355","total capture histories","10.1111/1365-2656.12206",2014,"Szostek",NA
1,"Is there an MPM in original paper?","no","IBM","10.1111/1365-2656.12399",2015,"O'Farrell",NA
2,"Organism","fish","Sparisoma viride","10.1111/1365-2656.12399",2015,"O'Farrell",NA
3,"Do they model an observation process for survival?",NA,NA,"10.1111/1365-2656.12399",2015,"O'Farrell",NA
4,"Do they model an observation process for fecundity?",NA,NA,"10.1111/1365-2656.12399",2015,"O'Farrell",NA
5,"Was uncertainty reported?",NA,NA,"10.1111/1365-2656.12399",2015,"O'Farrell",NA
6,"If reported, was the uncertainty complete for all parameters?",NA,NA,"10.1111/1365-2656.12399",2015,"O'Farrell",NA
7,"Was lambda estimated from matrix? If yes what conclusion",NA,NA,"10.1111/1365-2656.12399",2015,"O'Farrell",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion",NA,NA,"10.1111/1365-2656.12399",2015,"O'Farrell",NA
9,"Pre or post breeding census",NA,NA,"10.1111/1365-2656.12399",2015,"O'Farrell",NA
10,"Life cycle correctly estimated?",NA,NA,"10.1111/1365-2656.12399",2015,"O'Farrell",NA
11,"What is error if one found?",NA,NA,"10.1111/1365-2656.12399",2015,"O'Farrell",NA
12,"What metric used for fecundity?",NA,NA,"10.1111/1365-2656.12399",2015,"O'Farrell",NA
13,"Sample size",NA,NA,"10.1111/1365-2656.12399",2015,"O'Farrell",NA
1,"Is there an MPM in original paper?","yes","metapopulation demography-bioclimatic model","10.1111/j.1365-2664.2012.02163.x",2012,"Harris","linking demography and bioclimatic models"
2,"Organism","bird","cockatoo","10.1111/j.1365-2664.2012.02163.x",2012,"Harris","RAMAS"
3,"Do they model an observation process for survival?","yes","mark-resight analysis - MARK","10.1111/j.1365-2664.2012.02163.x",2012,"Harris",NA
4,"Do they model an observation process for fecundity?","no","estimated number of fledglings","10.1111/j.1365-2664.2012.02163.x",2012,"Harris",NA
5,"Was uncertainty reported?","yes","SE of fecundity and survival","10.1111/j.1365-2664.2012.02163.x",2012,"Harris",NA
6,"If reported, was the uncertainty complete for all parameters?","yes",NA,"10.1111/j.1365-2664.2012.02163.x",2012,"Harris",NA
7,"Was lambda estimated from matrix? If yes what conclusion","yes","1.0345","10.1111/j.1365-2664.2012.02163.x",2012,"Harris",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion","yes","latin hypercube sensitivity - adult survival was most important","10.1111/j.1365-2664.2012.02163.x",2012,"Harris",NA
9,"Pre or post breeding census","post",NA,"10.1111/j.1365-2664.2012.02163.x",2012,"Harris",NA
10,"Life cycle correctly estimated?","yes",NA,"10.1111/j.1365-2664.2012.02163.x",2012,"Harris",NA
11,"What is error if one found?",NA,NA,"10.1111/j.1365-2664.2012.02163.x",2012,"Harris",NA
12,"What metric used for fecundity?","number of fledglings per female",NA,"10.1111/j.1365-2664.2012.02163.x",2012,"Harris",NA
13,"Sample size","317","individuals with observations for survival","10.1111/j.1365-2664.2012.02163.x",2012,"Harris",NA
1,"Is there an MPM in original paper?","yes",NA,"10.1111/1365-2664.12194",2014,"Crawford","CSIRO Poptools"
2,"Organism","reptile","diamond back terrapin","10.1111/1365-2664.12194",2014,"Crawford",NA
