Vital rate,Matrix position,Estimate,Uncertainty1,Uncertainty2,Uncertainty type,Method of estimation,Propagated to final matrix?,Sample size,Which model,DOI,Year,Author,Comments,
nest initiation yearling,NA,0.86,0.1,NA,standard error,known fate program MARK,yes,can't tell,2010,10.1002/ece3.1290,2014,Davis,,
nest initiation adult,NA,0.92,0.02,NA,standard error,known fate program MARK,yes,can't tell,2010,10.1002/ece3.1290,2014,Davis,,
hen success yearling,NA,0.37,0.07,NA,standard error,known fate program MARK,yes,can't tell,2010,10.1002/ece3.1290,2014,Davis,,
hen success adult,NA,0.39,0.07,NA,standard error,known fate program MARK,yes,can't tell,2010,10.1002/ece3.1290,2014,Davis,,
chick survival,NA,0.22,0.02,NA,standard error,known fate program MARK,yes,can't tell,2010,10.1002/ece3.1290,2014,Davis,,
juvenile survival,NA,0.18,0.06,NA,standard error,known fate program MARK,yes,can't tell,2010,10.1002/ece3.1290,2014,Davis,,
yearling female survival,"2,1",0.61,0.11,NA,standard error,known fate program MARK,yes,can't tell,2010,10.1002/ece3.1290,2014,Davis,,
yearling male survival,"2,1",0.57,0.22,NA,standard error,known fate program MARK,yes,can't tell,2010,10.1002/ece3.1290,2014,Davis,,
Adult female survival,"2,2",0.56,0.1,NA,standard error,known fate program MARK,yes,can't tell,2010,10.1002/ece3.1290,2014,Davis,,
adult male survivial,"2,2",0.33,0.17,NA,standard error,known fate program MARK,yes,can't tell,2010,10.1002/ece3.1290,2014,Davis,,
1/2 clutch size,NA,2.93,0,NA,standard error,known fate program MARK,yes,can't tell,2010,10.1002/ece3.1290,2014,Davis,,
nest initiation yearling,NA,0.89,0.0015,NA,process variation,known fate program MARK,yes,can't tell,mean all years,10.1002/ece3.1290,2014,Davis,,
nest initiation adult,NA,0.93,0.0017,NA,process variation,known fate program MARK,yes,can't tell,mean all years,10.1002/ece3.1290,2014,Davis,,
hen success yearling,NA,0.43,0.0106,NA,process variation,known fate program MARK,yes,can't tell,mean all years,10.1002/ece3.1290,2014,Davis,,
hen success adult,NA,0.45,0.0233,NA,process variation,known fate program MARK,yes,can't tell,mean all years,10.1002/ece3.1290,2014,Davis,,
chick survival,NA,0.34,0.0084,NA,process variation,known fate program MARK,yes,can't tell,mean all years,10.1002/ece3.1290,2014,Davis,,
juvenile survival,NA,0.42,0.0307,NA,process variation,known fate program MARK,yes,can't tell,mean all years,10.1002/ece3.1290,2014,Davis,,
yearling female survival,"2,1",0.63,0.0005,NA,process variation,known fate program MARK,yes,can't tell,mean all years,10.1002/ece3.1290,2014,Davis,,
yearling male survival,"2,1",0.6,0.0037,NA,process variation,known fate program MARK,yes,can't tell,mean all years,10.1002/ece3.1290,2014,Davis,,
Adult female survival,"2,2",0.58,0.0004,NA,process variation,known fate program MARK,yes,can't tell,mean all years,10.1002/ece3.1290,2014,Davis,,
adult male survivial,"2,2",0.36,0.0019,NA,process variation,known fate program MARK,yes,can't tell,mean all years,10.1002/ece3.1290,2014,Davis,,
1/2 clutch size,NA,2.93,0,NA,process variation,known fate program MARK,yes,can't tell,mean all years,10.1002/ece3.1290,2014,Davis,,
breeding success0,NA,0,0,NA,standard error,direct calculation,no,not reported,all years,10.1002/ecs2.1666,2016,Hinke,all breeding success and propensity notes as means ± SE,
breeding success1,NA,0,0,NA,standard error,direct calculation,no,not reported,all years,10.1002/ecs2.1666,2016,Hinke,,
breeding success2,NA,0.13,0.04,NA,standard error,direct calculation,no,not reported,all years,10.1002/ecs2.1666,2016,Hinke,,
breeding success3,NA,0.2,0.03,NA,standard error,direct calculation,no,not reported,all years,10.1002/ecs2.1666,2016,Hinke,,
breeding success4,NA,0.24,0.06,NA,standard error,direct calculation,no,not reported,all years,10.1002/ecs2.1666,2016,Hinke,,
breeding success5,NA,0.31,0.12,NA,standard error,direct calculation,no,not reported,all years,10.1002/ecs2.1666,2016,Hinke,,
breeding success adult,NA,0.47,0.16,NA,standard error,direct calculation,no,not reported,all years,10.1002/ecs2.1666,2016,Hinke,,
breeding propensity0,NA,0,0,NA,standard error,multi-state capture-recapture model,no,not reported,all years,10.1002/ecs2.1666,2016,Hinke,,
breeding propensity1,NA,0,0,NA,standard error,multi-state capture-recapture model,no,not reported,all years,10.1002/ecs2.1666,2016,Hinke,,
breeding propensity2,NA,0.06,0.01,NA,standard error,multi-state capture-recapture model,no,not reported,all years,10.1002/ecs2.1666,2016,Hinke,,
breeding propensity3,NA,0.3,0.02,NA,standard error,multi-state capture-recapture model,no,not reported,all years,10.1002/ecs2.1666,2016,Hinke,,
breeding propensity4,NA,0.45,0.03,NA,standard error,multi-state capture-recapture model,no,not reported,all years,10.1002/ecs2.1666,2016,Hinke,,
breeding propensity5,NA,0.47,0.06,NA,standard error,multi-state capture-recapture model,no,not reported,all years,10.1002/ecs2.1666,2016,Hinke,,
breeding propensity adult,NA,0.94,0.02,NA,standard error,Cormack-Jolly-Seber model,no,296,all years,10.1002/ecs2.1666,2016,Hinke,,
adult reproductive success,"1,2",0.46,0.15,NA,standard deviation,direct calculation,no,not reported,all years,10.1002/ecs2.1666,2016,Hinke,,
adult survival,"2,2",0.88,0.07,NA,standard deviation of yearly estimates,multi-state capture-recapture model,no,not reported,all years,10.1002/ecs2.1666,2016,Hinke,,
juvenile survival,"1,2",0.63,0.09,NA,standard deviation of yearly estimates,multi-state capture-recapture model,no,not reported,all years,10.1002/ecs2.1666,2016,Hinke,,
proportion of breeding females,NA,0.51,NA,NA,NA,proportion from literature,no,NA,juvenile,10.1111/j.1558-5646.2011.01366.x,2011,Gamelon,,
proportion of breeding females,NA,0.9,NA,NA,NA,proportion from literature,no,NA,yearling,10.1111/j.1558-5646.2011.01366.x,2011,Gamelon,,
proportion of breeding females,NA,0.97,NA,NA,NA,proportion from literature,no,NA,adult,10.1111/j.1558-5646.2011.01366.x,2011,Gamelon,,
number of juveniles produced,NA,3.88,NA,NA,NA,mean from literature,no,NA,juvenile,10.1111/j.1558-5646.2011.01366.x,2011,Gamelon,,
number of juveniles produced,NA,5.4,NA,NA,NA,mean from literature,no,NA,yearling,10.1111/j.1558-5646.2011.01366.x,2011,Gamelon,,
number of juveniles produced,NA,6.36,NA,NA,NA,mean from literature,no,NA,adult,10.1111/j.1558-5646.2011.01366.x,2011,Gamelon,,
survival to weaning,NA,0.75,NA,NA,NA,expert opinion,no,NA,NA,10.1111/j.1558-5646.2011.01366.x,2011,Gamelon,,
harvest probability juvenile,NA,0.376,0.026,NA,standard error,multi-state capture-recapture model,no,1890,NA,10.1111/j.1558-5646.2011.01366.x,2011,Gamelon,,
harvest probability yearling,NA,0.421,0.049,NA,standard error,multi-state capture-recapture model,no,can't tell,NA,10.1111/j.1558-5646.2011.01366.x,2011,Gamelon,,
harvest probability adult,NA,0.758,0.038,NA,standard error,multi-state capture-recapture model,no,can't tell,NA,10.1111/j.1558-5646.2011.01366.x,2011,Gamelon,,
natural mortality juvenile,NA,0.094,0.053,NA,standard error,multi-state capture-recapture model,no,1890,NA,10.1111/j.1558-5646.2011.01366.x,2011,Gamelon,,
natural mortality yearling,NA,0.347,0.069,NA,standard error,multi-state capture-recapture model,no,can't tell,NA,10.1111/j.1558-5646.2011.01366.x,2011,Gamelon,,
natural mortality adult,NA,0.001,0.001,NA,standard error,multi-state capture-recapture model,no,can't tell,NA,10.1111/j.1558-5646.2011.01366.x,2011,Gamelon,also seems wrong in comadre,
survival juvenile,"2,1",0.53,NA,NA,NA,multi-state capture-recapture model,no,1890,NA,10.1111/j.1558-5646.2011.01366.x,2011,Gamelon,,
survival yearling,"3,2",0.232,NA,NA,NA,multi-state capture-recapture model,no,can't tell,NA,10.1111/j.1558-5646.2011.01366.x,2011,Gamelon,,
survival adult,"3,3",0.241,NA,NA,NA,multi-state capture-recapture model,no,can't tell,NA,10.1111/j.1558-5646.2011.01366.x,2011,Gamelon,,
lambda,NA,1.215,NA,NA,NA,NA,NA,NA,weakly hunted,10.1111/j.1558-5646.2011.01366.x,2011,Gamelon,,
lambda,NA,1,NA,NA,NA,NA,NA,NA,highly hunted,10.1111/j.1558-5646.2011.01366.x,2011,Gamelon,,
female fecundity 1,"1,1",0,0,NA,standard error,estimated mean,NA,61,NA,10.1111/evo.12952,2016,Kvalnes,,
female fecundity 2,"1,2",0.19,0.05,NA,standard error,estimated mean,NA,36,NA,10.1111/evo.12952,2016,Kvalnes,,
female fecundity 3,"1,3",0.23,0.06,NA,standard error,estimated mean,NA,35,NA,10.1111/evo.12952,2016,Kvalnes,,
female fecundity 4,"1,4",0.32,0.07,NA,standard error,estimated mean,NA,31,NA,10.1111/evo.12952,2016,Kvalnes,,
female fecundity 5,"1,5",0.32,0.07,NA,standard error,estimated mean,NA,25,NA,10.1111/evo.12952,2016,Kvalnes,,
female fecundity 6,"1,6",0.22,0.07,NA,standard error,estimated mean,NA,25,NA,10.1111/evo.12952,2016,Kvalnes,,
female fecundity 7,"1,7",0.26,0.07,NA,standard error,estimated mean,NA,21,NA,10.1111/evo.12952,2016,Kvalnes,,
female fecundity 8,"1,8",0.33,0.09,NA,standard error,estimated mean,NA,18,NA,10.1111/evo.12952,2016,Kvalnes,,
female fecundity 9,"1,9",0.28,0.08,NA,standard error,estimated mean,NA,16,NA,10.1111/evo.12952,2016,Kvalnes,,
female fecundity 10,"1,10",0.21,0.09,NA,standard error,estimated mean,NA,14,NA,10.1111/evo.12952,2016,Kvalnes,,
female fecundity 11,"1,11",0.08,0.08,NA,standard error,estimated mean,NA,6,NA,10.1111/evo.12952,2016,Kvalnes,,
female survival 1,"2,1",0.62,0.06,NA,standard error,estimated mean,NA,61,NA,10.1111/evo.12952,2016,Kvalnes,,
female survival 2,"3,2",0.94,0.04,NA,standard error,estimated mean,NA,36,NA,10.1111/evo.12952,2016,Kvalnes,,
female survival 3,"4,3",0.91,0.05,NA,standard error,estimated mean,NA,35,NA,10.1111/evo.12952,2016,Kvalnes,,
female survival 4,"5,4",0.81,0.07,NA,standard error,estimated mean,NA,31,NA,10.1111/evo.12952,2016,Kvalnes,,
female survival 5,"6,5",1,0,NA,standard error,estimated mean,NA,25,NA,10.1111/evo.12952,2016,Kvalnes,,
female survival 6,"7,6",0.88,0.07,NA,standard error,estimated mean,NA,25,NA,10.1111/evo.12952,2016,Kvalnes,,
female survival 7,"8,7",0.9,0.07,NA,standard error,estimated mean,NA,21,NA,10.1111/evo.12952,2016,Kvalnes,,
female survival 8,"9,8",0.89,0.08,NA,standard error,estimated mean,NA,18,NA,10.1111/evo.12952,2016,Kvalnes,,
female survival 9,"10,9",0.88,0.09,NA,standard error,estimated mean,NA,16,NA,10.1111/evo.12952,2016,Kvalnes,,
female survival 10,"11,10",0.63,0.13,NA,standard error,estimated mean,NA,14,NA,10.1111/evo.12952,2016,Kvalnes,,
female survival 11,"11,11",0.33,0.21,NA,standard error,estimated mean,NA,6,NA,10.1111/evo.12952,2016,Kvalnes,,
male fecundity 1,"1,1",0,0,NA,standard error,estimated mean,NA,69,NA,10.1111/evo.12952,2016,Kvalnes,,
male fecundity 2,"1,2",0.05,0.03,NA,standard error,estimated mean,NA,31,NA,10.1111/evo.12952,2016,Kvalnes,,
male fecundity 3,"1,3",0.3,0.16,NA,standard error,estimated mean,NA,22,NA,10.1111/evo.12952,2016,Kvalnes,,
male fecundity 4,"1,4",0.22,0.07,NA,standard error,estimated mean,NA,18,NA,10.1111/evo.12952,2016,Kvalnes,,
male fecundity 5,"1,5",0.88,0.26,NA,standard error,estimated mean,NA,16,NA,10.1111/evo.12952,2016,Kvalnes,,
male fecundity 6,"1,6",0.84,0.23,NA,standard error,estimated mean,NA,16,NA,10.1111/evo.12952,2016,Kvalnes,,
male fecundity 7,"1,7",0.75,0.25,NA,standard error,estimated mean,NA,8,NA,10.1111/evo.12952,2016,Kvalnes,,
male survival 1,"2,1",0.43,0.06,NA,standard error,estimated mean,NA,69,NA,10.1111/evo.12952,2016,Kvalnes,,
male survival 2,"3,2",0.74,0.08,NA,standard error,estimated mean,NA,31,NA,10.1111/evo.12952,2016,Kvalnes,,
male survival 3,"4,3",0.91,0.06,NA,standard error,estimated mean,NA,22,NA,10.1111/evo.12952,2016,Kvalnes,,
male survival 4,"5,4",0.89,0.08,NA,standard error,estimated mean,NA,18,NA,10.1111/evo.12952,2016,Kvalnes,,
male survival 5,"6,5",0.94,0.06,NA,standard error,estimated mean,NA,16,NA,10.1111/evo.12952,2016,Kvalnes,,
male survival 6,"7,6",0.56,0.13,NA,standard error,estimated mean,NA,16,NA,10.1111/evo.12952,2016,Kvalnes,,
male survival 7,"7,7",0.5,0.19,NA,standard error,estimated mean,NA,8,NA,10.1111/evo.12952,2016,Kvalnes,,
adult survival,"2,2",0.75,0.54,0.91,credible interval,Bayesian multi-state mark-recapture model,yes,can't tell,2 year post wildfire,10.1371/journal.pone.0094700,2014,Rota,n = 140 across all sites,
adult survival,"2,2",0.65,0.45,0.83,credible interval,Bayesian multi-state mark-recapture model,yes,can't tell,MPB infestations,10.1371/journal.pone.0094700,2014,Rota,,
adult survival,"2,2",0.5,0.2,0.79,credible interval,Bayesian multi-state mark-recapture model,yes,can't tell,2 year post prescribed fire,10.1371/journal.pone.0094700,2014,Rota,,
juvenile survival,"2,1",0.64,0.25,0.91,credible interval,Bayesian multi-state mark-recapture model,yes,can't tell,2 year post wildfire,10.1371/journal.pone.0094700,2014,Rota,n = 72 across all sites,
juvenile survival,"2,1",0.35,0.11,0.62,credible interval,Bayesian multi-state mark-recapture model,yes,can't tell,MPB infestations,10.1371/journal.pone.0094700,2014,Rota,,
juvenile survival,"2,1",0.15,0,0.55,credible interval,Bayesian multi-state mark-recapture model,yes,can't tell,2 year post prescribed fire,10.1371/journal.pone.0094700,2014,Rota,,
nest success,NA,0.72,0.55,0.86,credible interval,Bayesian multi-state mark-recapture model,yes,40,2 year post wildfire,10.1371/journal.pone.0094700,2014,Rota,n = 95 across all sites,
nest success,NA,0.6,0.4,0.77,credible interval,Bayesian multi-state mark-recapture model,yes,35,MPB infestations,10.1371/journal.pone.0094700,2014,Rota,,
nest success,NA,0.45,0.22,0.68,credible interval,Bayesian multi-state mark-recapture model,yes,20,2 year post prescribed fire,10.1371/journal.pone.0094700,2014,Rota,,
young fledged,NA,1.8,1.44,2.28,credible interval,Bayesian multi-state mark-recapture model,yes,23,2 year post wildfire,10.1371/journal.pone.0094700,2014,Rota,,
young fledged,NA,1.81,1.41,2.35,credible interval,Bayesian multi-state mark-recapture model,yes,18,MPB infestations,10.1371/journal.pone.0094700,2014,Rota,,
young fledged,NA,2.05,1.44,2.95,credible interval,Bayesian multi-state mark-recapture model,yes,9,2 year post prescribed fire,10.1371/journal.pone.0094700,2014,Rota,,
lambda,NA,1.16,plotted only,plotted only,credible interval,Bayesian multi-state mark-recapture model,NA,NA,2 year post wildfire,10.1371/journal.pone.0094700,2014,Rota,did analyse whole distribution of posterior,
lambda,NA,0.84,plotted only,plotted only,credible interval,Bayesian multi-state mark-recapture model,NA,NA,MPB infestations,10.1371/journal.pone.0094700,2014,Rota,plotted only and described,
lambda,NA,0.57,plotted only,plotted only,credible interval,Bayesian multi-state mark-recapture model,NA,NA,2 year post prescribed fire,10.1371/journal.pone.0094700,2014,Rota,,
juvenile survival,"2,1",0.31,0.024,NA,standard error,can't tell,can't tell,can't tell,NA,10.1371/journal.pone.0034379,2012,Hostetler,elasticity varied year to year,
adult survival,"2,2",0.519,0.029,NA,standard error,can't tell,can't tell,can't tell,NA,10.1371/journal.pone.0034379,2012,Hostetler,,
litter size,NA,4.793,0.141,NA,standard error,can't tell,can't tell,can't tell,NA,10.1371/journal.pone.0034379,2012,Hostetler,,
breeding probability yearling,NA,0.313,0.047,NA,standard error,can't tell,can't tell,can't tell,NA,10.1371/journal.pone.0034379,2012,Hostetler,,
breeding probability older females,NA,0.817,0.037,NA,standard error,can't tell,can't tell,can't tell,NA,10.1371/journal.pone.0034379,2012,Hostetler,,
lambda,NA,0.94,0.84,1.04,confidence interval,can't tell,NA,NA,NA,10.1371/journal.pone.0034379,2012,Hostetler,,
stochastic lambda,NA,0.92,0.52,1.6,confidence interval,random selection of 'year',NA,NA,NA,10.1371/journal.pone.0034379,2012,Hostetler,,
stage 5 to stage 1,"1,5",11.01,NA,NA,NA,from literature,yes,not reported,NA,10.1111/gcb.12289,2013,Fordham,not sure if this is the one they used or uncorrected,
stage 6 to stage 1,"1,6",44.75,NA,NA,NA,from literature,yes,not reported,NA,10.1111/gcb.12289,2013,Fordham,,
stage 7 to stage 1,"1,7",81.15,NA,NA,NA,from literature,yes,not reported,NA,10.1111/gcb.12289,2013,Fordham,,
stage 1 to stage 2,"2,1",0.089,NA,NA,NA,from literature,yes,not reported,NA,10.1111/gcb.12289,2013,Fordham,,
stage 1 to stage 3,"3,1",0.138,NA,NA,NA,from literature,yes,not reported,NA,10.1111/gcb.12289,2013,Fordham,,
stage 1 to stage 4,"4,1",0.001,NA,NA,NA,from literature,yes,not reported,NA,10.1111/gcb.12289,2013,Fordham,,
stage 2 to stage 3,"3,2",0.153,NA,NA,NA,from literature,yes,not reported,NA,10.1111/gcb.12289,2013,Fordham,,
stage 2 to stage 4,"4,2",0.524,NA,NA,NA,from literature,yes,not reported,NA,10.1111/gcb.12289,2013,Fordham,,
stage 2 to stage 5,"5,2",0.081,NA,NA,NA,from literature,yes,not reported,NA,10.1111/gcb.12289,2013,Fordham,,
stage 3 to stage 4,"4,3",0.257,NA,NA,NA,from literature,yes,not reported,NA,10.1111/gcb.12289,2013,Fordham,,
stage 3 to stage 5,"5,3",0.587,NA,NA,NA,from literature,yes,not reported,NA,10.1111/gcb.12289,2013,Fordham,,
stage 3 to stage 6,"6,3",0.004,NA,NA,NA,from literature,yes,not reported,NA,10.1111/gcb.12289,2013,Fordham,,
stage 4 to stage 5,"5,4",0.026,NA,NA,NA,from literature,yes,not reported,NA,10.1111/gcb.12289,2013,Fordham,,
stage 4 to stage 6,"6,4",0.838,NA,NA,NA,from literature,yes,not reported,NA,10.1111/gcb.12289,2013,Fordham,,
stage 4 to stage 7,"7,4",0.02,NA,NA,NA,from literature,yes,not reported,NA,10.1111/gcb.12289,2013,Fordham,,
stage 5 to stage 6,"6,5",0.415,NA,NA,NA,from literature,yes,not reported,NA,10.1111/gcb.12289,2013,Fordham,,
stage 5 to stage 7,"7,5",0.491,NA,NA,NA,from literature,yes,not reported,NA,10.1111/gcb.12289,2013,Fordham,,
stage 6 to stage 6,"6,6",0.687,NA,NA,NA,from literature,yes,not reported,NA,10.1111/gcb.12289,2013,Fordham,,
stage 6 to stage 7,"7,6",0.235,NA,NA,NA,from literature,yes,not reported,NA,10.1111/gcb.12289,2013,Fordham,,
stage 7 to stage 7,"6,6",0.933,NA,NA,NA,from literature,yes,not reported,NA,10.1111/gcb.12289,2013,Fordham,,
lambda,NA,not reported,not reported,not reported,not reported,not reported,NA,NA,NA,10.1111/gcb.12289,2013,Fordham,,
vital rates,NA,Can't find it,Can't find it,Can't find it,confidence interval,from latin hypercube volume,yes,NA,NA,10.1111/gcb.12289,2013,Fordham,MPM was part of a bigger model so no uncertainty reported for specific vital rates of the matrix,
lambda,NA,1.69,1.09,1.89,confidence interval,parametric resampling from normal,NA,NA,site1,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,program MARK,
lambda,NA,0.49,0.08,1.75,confidence interval,parametric resampling from normal,NA,NA,site2,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
lambda,NA,0.63,0.43,1.08,confidence interval,parametric resampling from normal,NA,NA,site3,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
lambda,NA,0.78,0.61,1.05,confidence interval,parametric resampling from normal,NA,NA,site4,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
lambda,NA,0.83,0.73,1.01,confidence interval,parametric resampling from normal,NA,NA,site5,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
lambda,NA,0.97,0.43,1.76,confidence interval,parametric resampling from normal,NA,NA,site6,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
lambda,NA,0.42,0.41,0.81,confidence interval,parametric resampling from normal,NA,NA,site7,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
lambda,NA,0.63,0.5,0.92,confidence interval,parametric resampling from normal,NA,NA,site8,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
juvenile survival,"1,1",0.65,0.05,NA,standard error,multi-state capture-recapture model,yes,19,site1,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
juvenile survival,"1,1",0.24,0.24,NA,standard error,multi-state capture-recapture model,yes,97,site2,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
juvenile survival,"1,1",0.2,0.18,NA,standard error,multi-state capture-recapture model,yes,83,site3,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
juvenile survival,"1,1",0.14,0.19,NA,standard error,multi-state capture-recapture model,yes,84,site4,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
juvenile survival,"1,1",0.22,0.06,NA,standard error,multi-state capture-recapture model,yes,147,site5,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
juvenile survival,"1,1",0.51,0.35,NA,standard error,multi-state capture-recapture model,yes,100,site6,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
juvenile survival,"1,1",0.16,0.18,NA,standard error,multi-state capture-recapture model,yes,72,site7,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
juvenile survival,"1,1",0.24,0.08,NA,standard error,multi-state capture-recapture model,yes,45,site8,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
small adult survival,"2,2",0.56,0.05,NA,standard error,multi-state capture-recapture model,yes,74,site1,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
small adult survival,"2,2",0.26,0.23,NA,standard error,multi-state capture-recapture model,yes,182,site2,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
small adult survival,"2,2",0.19,0.17,NA,standard error,multi-state capture-recapture model,yes,161,site3,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
small adult survival,"2,2",0.49,0.19,NA,standard error,multi-state capture-recapture model,yes,74,site4,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
small adult survival,"2,2",0.22,0.05,NA,standard error,multi-state capture-recapture model,yes,130,site5,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
small adult survival,"2,2",0.27,0.13,NA,standard error,multi-state capture-recapture model,yes,122,site6,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
small adult survival,"2,2",0.18,0.21,NA,standard error,multi-state capture-recapture model,yes,20,site7,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
small adult survival,"2,2",0.4,0.1,NA,standard error,multi-state capture-recapture model,yes,87,site8,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
large adult survival,"3,3",0.59,0.05,NA,standard error,multi-state capture-recapture model,yes,5,site1,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
large adult survival,"3,3",0.25,0.24,NA,standard error,multi-state capture-recapture model,yes,16,site2,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
large adult survival,"3,3",0.19,0.18,NA,standard error,multi-state capture-recapture model,yes,4,site3,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
large adult survival,"3,3",0.29,0.18,NA,standard error,multi-state capture-recapture model,yes,14,site4,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
large adult survival,"3,3",0.22,0.06,NA,standard error,multi-state capture-recapture model,yes,65,site5,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
large adult survival,"3,3",0.54,0.36,NA,standard error,multi-state capture-recapture model,yes,11,site6,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
large adult survival,"3,3",0.17,0.21,NA,standard error,multi-state capture-recapture model,yes,3,site7,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
large adult survival,"3,3",0.3,0.12,NA,standard error,multi-state capture-recapture model,yes,16,site8,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
juvenile transition to small adult,"2,1",0.78,0.08,NA,standard error,multi-state capture-recapture model,yes,can't tell,site1,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
juvenile transition to small adult,"2,1",0.04,0.05,NA,standard error,multi-state capture-recapture model,yes,can't tell,site2,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
juvenile transition to small adult,"2,1",0.32,0.14,NA,standard error,multi-state capture-recapture model,yes,can't tell,site3,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
juvenile transition to small adult,"2,1",0.35,0.11,NA,standard error,multi-state capture-recapture model,yes,can't tell,site4,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
juvenile transition to small adult,"2,1",0.45,0.09,NA,standard error,multi-state capture-recapture model,yes,can't tell,site5,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
juvenile transition to small adult,"2,1",0.08,0.06,NA,standard error,multi-state capture-recapture model,yes,can't tell,site6,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
juvenile transition to small adult,"2,1",0.09,0.07,NA,standard error,multi-state capture-recapture model,yes,can't tell,site7,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
juvenile transition to small adult,"2,1",0.07,0.04,NA,standard error,multi-state capture-recapture model,yes,can't tell,site8,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
small adult transition to large adult,"3,2",0.09,0.03,NA,standard error,multi-state capture-recapture model,yes,can't tell,site1,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
small adult transition to large adult,"3,2",0.04,0.03,NA,standard error,multi-state capture-recapture model,yes,can't tell,site2,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
small adult transition to large adult,"3,2",0.04,0.02,NA,standard error,multi-state capture-recapture model,yes,can't tell,site3,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
small adult transition to large adult,"3,2",0.11,0.04,NA,standard error,multi-state capture-recapture model,yes,can't tell,site4,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
small adult transition to large adult,"3,2",0.11,0.03,NA,standard error,multi-state capture-recapture model,yes,can't tell,site5,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
small adult transition to large adult,"3,2",0.07,0.05,NA,standard error,multi-state capture-recapture model,yes,can't tell,site6,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
small adult transition to large adult,"3,2",0.07,0.08,NA,standard error,multi-state capture-recapture model,yes,can't tell,site7,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
small adult transition to large adult,"3,2",0.05,0.02,NA,standard error,multi-state capture-recapture model,yes,can't tell,site8,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,,
